datetime,day_of_week,order_id,order_total,payment_method,number_of_maindishes,number_of_snacks,number_of_drinks,number_of_soups,number_of_extras,is_takeaway
2025-01-02 12:58:00,4,15064,327.0,1,2.0,1.0,0.0,0.0,0.0,1
2025-01-02 15:06:00,4,15065,287.0,2,1.0,2.0,0.0,0.0,0.0,1
2025-01-02 15:25:00,4,6119,685.0,3,2.0,1.0,1.0,1.0,0.0,0
2025-01-02 16:19:00,4,6117,109.0,3,0.0,0.0,0.0,1.0,1.0,0
2025-01-02 16:37:00,4,15067,129.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-02 16:41:00,4,6118,500.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-02 16:46:00,4,15070,321.0,1,2.0,2.0,0.0,0.0,0.0,1
2025-01-02 16:50:00,4,15071,202.0,1,1.0,1.0,0.0,0.0,0.0,1
2025-01-02 17:03:00,4,6120,272.7,3,2.0,1.0,0.0,0.0,0.0,0
2025-01-02 17:16:00,4,15074,182.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 17:22:00,4,15075,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-02 17:23:00,4,15076,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-02 17:26:00,4,15077,357.0,2,2.0,1.0,0.0,0.0,0.0,1
2025-01-02 17:34:00,4,15079,322.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 17:36:00,4,15080,271.0,1,1.0,1.0,0.0,1.0,0.0,1
2025-01-02 17:39:00,4,15081,182.0,1,1.0,1.0,0.0,0.0,0.0,1
2025-01-02 17:49:00,4,15083,422.0,2,2.0,2.0,0.0,0.0,0.0,1
2025-01-02 17:52:00,4,6121,20.0,3,0.0,0.0,0.0,0.0,1.0,0
2025-01-02 17:56:00,4,6123,125.0,3,1.0,0.0,0.0,0.0,0.0,0
2025-01-02 18:05:00,4,6130,778.0,3,3.0,1.0,4.0,0.0,0.0,0
2025-01-02 18:08:00,4,15087,294.0,2,2.0,0.0,0.0,0.0,1.0,1
2025-01-02 18:15:00,4,15089,274.0,1,2.0,0.0,0.0,0.0,1.0,1
2025-01-02 18:25:00,4,6125,262.0,3,2.0,0.0,0.0,0.0,1.0,1
2025-01-02 18:27:00,4,6126,442.0,3,3.0,1.0,0.0,0.0,0.0,1
2025-01-02 18:29:00,4,15093,143.0,2,1.0,0.0,0.0,0.0,0.0,1
2025-01-02 18:30:00,4,15094,630.0,2,3.0,4.0,0.0,0.0,1.0,1
2025-01-02 18:37:00,4,6127,20.0,3,0.0,1.0,0.0,0.0,0.0,0
2025-01-02 18:40:00,4,6128,248.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 18:41:00,4,6129,242.0,3,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 18:44:00,4,15098,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 18:48:00,4,15099,386.0,1,2.0,2.0,0.0,0.0,0.0,1
2025-01-02 18:56:00,4,15100,212.0,2,1.0,1.0,0.0,0.0,0.0,1
2025-01-02 18:57:00,4,15101,123.0,1,1.0,0.0,0.0,0.0,0.0,1
2025-01-02 19:09:00,4,6131,188.0,3,1.0,1.0,0.0,0.0,0.0,0
2025-01-02 19:16:00,4,15104,430.0,2,2.0,2.0,0.0,0.0,0.0,1
2025-01-02 19:38:00,4,15105,410.0,2,2.0,2.0,2.0,0.0,0.0,1
2025-01-02 19:40:00,4,15107,274.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 19:41:00,4,15108,278.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 19:43:00,4,15109,302.0,2,2.0,0.0,0.0,0.0,0.0,1
2025-01-02 19:52:00,4,15110,222.0,2,1.0,1.0,0.0,0.0,0.0,1
